1001AY38Z	09.12.2022 11.57.48,951000000
1001AY38X	09.12.2022 11.48.36,860000000
1001AY38V	09.12.2022 12.00.10,738000000
1001AY38U	09.12.2022 11.52.20,885000000
1001AY38S	09.12.2022 11.45.32,133000000
1001AY38N	09.12.2022 11.41.34,242000000
1001AY38H	09.12.2022 11.33.40,412000000
1001AY38G	09.12.2022 11.33.33,700000000
1001AY38C	09.12.2022 11.36.24,065000000
1001AY389	09.12.2022 11.47.42,481000000
1001AY386	09.12.2022 11.42.04,661000000
1001AY383	09.12.2022 11.25.02,461000000
1001AY382	09.12.2022 11.28.17,762000000
1001AY380	09.12.2022 11.19.33,728000000
1001AY37Y	09.12.2022 11.10.51,592000000
1001AY37W	09.12.2022 11.17.03,515000000
1001AY37R	09.12.2022 11.18.23,208000000
1001AY37M	09.12.2022 11.18.19,880000000
1001AY37L	09.12.2022 11.03.05,773000000
1001AY37K	09.12.2022 11.05.30,217000000
1001AY37J	09.12.2022 11.10.48,881000000
1001AY37G	09.12.2022 11.02.49,880000000
1001AY37F	09.12.2022 10.56.23,921000000
1001AY37E	09.12.2022 11.02.40,184000000
1001AY37B	09.12.2022 10.53.49,048000000
1001AY37A	09.12.2022 10.56.47,730000000
1001AY378	09.12.2022 10.49.56,956000000
1001AY374	09.12.2022 10.45.35,746000000
1001AY373	09.12.2022 10.43.17,839000000
1001AY372	09.12.2022 10.42.28,436000000
1001AY370	09.12.2022 10.45.49,481000000
1001AY36Z	09.12.2022 11.02.40,045000000
1001AY36X	09.12.2022 10.43.25,149000000
1001AY36U	09.12.2022 10.50.46,104000000
1001AY36T	09.12.2022 10.39.35,701000000
1001AY36S	09.12.2022 10.33.45,199000000
1001AY36P	09.12.2022 10.30.50,556000000
1001AY36o	09.12.2022 10.28.53,403000000
1001AY36M	09.12.2022 10.27.50,598000000
1001AY36H	09.12.2022 10.19.09,472000000
1001AY36F	09.12.2022 10.14.03,493000000
1001AY36C	09.12.2022 10.13.10,940000000
1001AY368	09.12.2022 10.23.47,794000000
1001AY364	09.12.2022 10.00.56,935000000
1001AY35Z	09.12.2022 09.45.48,895000000
1001AY35X	09.12.2022 09.46.46,712000000
1001AY35W	09.12.2022 09.41.17,897000000
1001AY35S	09.12.2022 09.40.30,875000000
1001AY35Q	09.12.2022 09.36.57,454000000
1001AY35M	09.12.2022 09.32.57,190000000
1001AY35D	09.12.2022 09.24.31,178000000
1001AY359	09.12.2022 09.14.18,623000000
1001AY356	09.12.2022 09.21.23,321000000
1001AY352	09.12.2022 09.03.49,006000000
1001AY34V	09.12.2022 08.35.41,875000000
1001AY34U	09.12.2022 08.27.57,089000000
1001AY34T	09.12.2022 08.28.19,934000000
1001AY34S	09.12.2022 08.25.21,953000000
1001AY34R	09.12.2022 08.23.17,160000000
1001AY34Q	09.12.2022 08.10.15,588000000
1001AY34H	09.12.2022 07.35.03,922000000
1001AY34G	09.12.2022 07.26.00,961000000
1001AY34F	09.12.2022 07.09.44,971000000
1001AY34A	09.12.2022 05.59.16,210000000
1001AY347	09.12.2022 05.46.21,715000000
1001AY345	09.12.2022 03.44.44,082000000
1001AY344	09.12.2022 02.35.14,508000000
1001AY342	09.12.2022 01.35.13,561000000
1001AY33X	09.12.2022 00.44.08,245000000
1001AY33V	09.12.2022 00.05.00,752000000
1001AY33T	09.12.2022 00.03.32,206000000
1001AY33R	08.12.2022 23.35.55,139000000
1001AY33P	08.12.2022 23.12.48,749000000
1001AY33o	08.12.2022 23.06.12,291000000
1001AY33M	08.12.2022 23.01.10,027000000
1001AY33H	08.12.2022 22.29.54,676000000
1001AY33G	08.12.2022 22.29.10,153000000
1001AY33E	08.12.2022 22.11.17,150000000
1001AY333	08.12.2022 21.47.26,064000000
1001AY332	08.12.2022 21.43.51,088000000
1001AY32Z	08.12.2022 21.35.14,172000000
1001AY32W	08.12.2022 21.19.21,282000000
1001AY32R	09.12.2022 09.38.45,158000000
1001AY32P	08.12.2022 21.03.24,813000000
1001AY32L	08.12.2022 20.42.00,939000000
1001AY32i	08.12.2022 20.42.12,096000000
1001AY32G	08.12.2022 20.41.13,096000000
1001AY32D	08.12.2022 20.37.59,931000000
1001AY32A	08.12.2022 20.28.24,502000000
