1001AN8UT	10.10.2022 13.48.23,720000000
1001AN8UV	10.10.2022 13.56.27,396000000
1001AN8UZ	10.10.2022 15.36.02,976000000
1001AN8VA	12.10.2022 12.10.47,132000000
1001AN8VD	14.10.2022 09.15.16,255000000
1001AN8VE	14.10.2022 10.11.49,411000000
1001AN8VY	17.10.2022 09.29.44,332000000
1001AN8V9	12.10.2022 11.01.44,927000000
1001AN8WA	17.10.2022 13.36.26,592000000
1001AN8WC	17.10.2022 14.28.30,739000000
1001AN8WH	19.10.2022 12.54.03,659000000
1001AN8WJ	19.10.2022 13.51.45,829000000
1001AN8WL	20.10.2022 14.49.27,438000000
1001AN8W0	17.10.2022 09.43.02,088000000
1001AN8W2	17.10.2022 09.58.49,133000000
1001AN8W3	17.10.2022 09.59.37,329000000
1001AN8W8	17.10.2022 13.24.36,342000000
1001AN8X0	24.10.2022 13.39.36,419000000
1001AN8X2	24.10.2022 15.05.20,536000000
1001AN8ZU	23.11.2022 15.23.27,982000000
1001AN90K	29.11.2022 17.24.00,425000000
1001AN90N	30.11.2022 09.26.18,620000000
1001AN90P	30.11.2022 16.11.23,165000000
1001AN90S	30.11.2022 16.14.41,711000000
